Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2470","E","Estimated value"
"FBS","Food Balances (2010-)","242","Fiji","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2876","E","Estimated value"
"FBS","Food Balances (2010-)","246","Finland","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3319","E","Estimated value"
"FBS","Food Balances (2010-)","250","France","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3604","E","Estimated value"
"FBS","Food Balances (2010-)","258","French Polynesia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2858","E","Estimated value"
"FBS","Food Balances (2010-)","266","Gabon","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2595","E","Estimated value"
"FBS","Food Balances (2010-)","270","Gambia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2433","E","Estimated value"
"FBS","Food Balances (2010-)","268","Georgia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3054","E","Estimated value"
"FBS","Food Balances (2010-)","276","Germany","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3634","E","Estimated value"
"FBS","Food Balances (2010-)","288","Ghana","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3079","E","Estimated value"
"FBS","Food Balances (2010-)","300","Greece","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3350","E","Estimated value"
"FBS","Food Balances (2010-)","308","Grenada","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2609","E","Estimated value"
"FBS","Food Balances (2010-)","320","Guatemala","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2757","E","Estimated value"
"FBS","Food Balances (2010-)","324","Guinea","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2902","E","Estimated value"
"FBS","Food Balances (2010-)","624","Guinea-Bissau","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2167","E","Estimated value"
"FBS","Food Balances (2010-)","328","Guyana","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3194","E","Estimated value"
"FBS","Food Balances (2010-)","332","Haiti","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2076","E","Estimated value"
"FBS","Food Balances (2010-)","340","Honduras","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2667","E","Estimated value"
"FBS","Food Balances (2010-)","348","Hungary","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3421","E","Estimated value"
"FBS","Food Balances (2010-)","352","Iceland","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3612","E","Estimated value"
"FBS","Food Balances (2010-)","356","India","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2569","E","Estimated value"
"FBS","Food Balances (2010-)","360","Indonesia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2916","E","Estimated value"
"FBS","Food Balances (2010-)","364","Iran (Islamic Republic of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2895","E","Estimated value"
