,livestock,fcr,item_name,production,rum_feed_req,pasture_produced,g_rat,eff_yield_tonnes_km2,fp_m2_kg,fp_m2_kg_err,fp_m2_kg_perc,Country_ISO
670,sgmeat,15,Sheep and Goat Meat,29.0,435.0,14.450299648783766,0.010104435731143032,2.8601893333333366,349.627204166437,17.35754140598103,0.04964585478227868,BLZ
671,other,15,"Meat, nes",,,,,,,,,BLZ
672,bvmeat,25,Beef and Buffalo Meat,254510.0,6362750.0,254510.0,0.6660403429253331,80.25805302537685,12.459808857857656,0.3121288615058813,0.025050854717489534,BEL
673,bvmilk,0.7,"Milk, Total",4494000.0,3145800.0,4494000.0,0.3292962493850164,2866.3590366206017,0.3488746480200144,0.008739608122164679,0.025050854717489534,BEL
674,sgmeat,15,Sheep and Goat Meat,2970.0,44550.0,2970.0,0.00466340768965048,133.76342170896143,7.475885314714594,0.3123275662485181,0.041778003955434115,BEL
675,other,15,"Meat, nes",,,,,,,,,BEL
676,bvmeat,25,Beef and Buffalo Meat,340500.0,8512500.0,177313.22496475425,0.6095068024897234,11.539572661642206,86.6583217005966,0.689301083676148,0.007954239940829623,BLR
677,bvmilk,0.7,"Milk, Total",7765300.0,5435710.0,4043730.9421991375,0.3892043725534701,412.1275950586503,2.4264330076167044,0.019300430342932138,0.007954239940829623,BLR
678,sgmeat,15,Sheep and Goat Meat,1200.0,18000.0,624.8924227832749,0.0012888249568064635,19.232621102737014,51.99499302035795,0.859179242516862,0.0165242688306634,BLR
679,other,15,"Meat, nes",,,,,,,,,BLR
680,bvmeat,25,Beef and Buffalo Meat,146.0,3650.0,146.0,0.38968248884333695,18.7332,53.38116285525163,6.753872811481771,0.12652165015205033,BRB
681,bvmilk,0.7,"Milk, Total",5338.0,3736.6,5338.0,0.3989281062498665,669.0428571428572,1.4946725599470458,0.1891084387214896,0.12652165015205033,BRB
682,sgmeat,15,Sheep and Goat Meat,132.0,1980.0,132.0,0.21138940490679647,31.221999999999998,32.02869771315098,3.330201143202734,0.10397554009307576,BRB
683,other,15,"Meat, nes",,,,,,,,,BRB
684,bvmeat,25,Beef and Buffalo Meat,200442.0,5011050.0,0.0,0.4529205450708343,,,,0.013607657726770537,BGD
685,bvmilk,0.7,"Milk, Total",3578373.0,2504861.0999999996,0.0,0.22640026635909227,,,,0.013607657726770537,BGD
686,sgmeat,15,Sheep and Goat Meat,236530.0,3547950.0,0.0,0.32067918857007344,,,,0.02565556244637628,BGD
687,other,15,"Meat, nes",,,,,,,,,BGD
688,bvmeat,25,Beef and Buffalo Meat,853.0,21325.0,812.1678751096341,0.0437715227091586,463.86773000000005,2.1557869524573308,0.7942132116213074,0.36840987961078553,BHR
689,bvmilk,0.7,"Milk, Total",11777.0,8243.9,11213.248610980258,0.01692136253514807,16566.70464285714,0.06036203466880527,0.022237969925396613,0.36840987961078553,BHR
690,sgmeat,15,Sheep and Goat Meat,30508.0,457620.0,29047.617272971533,0.9393071147556933,773.1128833333335,1.2934721714743984,0.3778913581540319,0.292152677489213,BHR
691,other,15,"Meat, nes",,,,,,,,,BHR
692,bvmeat,25,Beef and Buffalo Meat,19.0,475.0,19.0,0.11791867335286232,8.0564,124.12491931880244,3.487118642752344,0.028093622633469983,BHS
693,bvmilk,0.7,"Milk, Total",2826.0,1978.1999999999998,2826.0,0.49108783079290996,287.72857142857146,3.475497740926468,0.09763932199706561,0.028093622633469983,BHS
694,sgmeat,15,Sheep and Goat Meat,105.0,1575.0,105.0,0.3909934958542277,13.427333333333332,74.47495159128148,2.3264741218574083,0.03123834352555337,BHS
695,other,15,"Meat, nes",,,,,,,,,BHS
696,bvmeat,25,Beef and Buffalo Meat,143082.0,3577050.0,86510.1209231963,0.5573753060418234,6.405687990094922,156.11125636251626,3.414688054364206,0.021873426259761394,AZE
697,bvmilk,0.7,"Milk, Total",2192498.0,1534748.5999999999,1325626.333877539,0.23914425871102163,228.77457107481868,4.371115178150455,0.09561126552219777,0.021873426259761394,AZE
698,sgmeat,15,Sheep and Goat Meat,87058.0,1305870.0,52636.93621372097,0.20348043524715503,10.676146650158204,93.66675381750976,1.7266090263444152,0.018433531172739846,AZE
699,other,15,"Meat, nes",,,,,,,,,AZE
700,bvmeat,25,Beef and Buffalo Meat,218360.0,5459000.0,193880.32455195786,0.6605974153082409,24.255971635894806,41.2269611381045,1.053799119422071,0.025560921550632675,AUT
701,bvmilk,0.7,"Milk, Total",3852260.0,2696582.0,3420394.8482255233,0.32631527740735056,866.2847012819575,1.1543549118669254,0.029506375343817975,0.025560921550632675,AUT
702,sgmeat,15,Sheep and Goat Meat,7210.0,108150.0,6401.708829545779,0.013087307284408546,40.42661939315801,24.736176682862695,0.3967819941237489,0.016040554658499056,AUT
703,other,15,"Meat, nes",,,,,,,,,AUT
704,bvmeat,25,Beef and Buffalo Meat,2371600.0,59290000.0,2125970.2169719147,0.7780755144005649,0.8412934105961284,1188.645943739669,8.668708327804701,0.007292927194561879,AUS
705,bvmilk,0.7,"Milk, Total",8797000.0,6157900.0,7885882.947673273,0.08081145572823813,30.046193235576016,33.282086424710734,0.24272383317853166,0.007292927194561879,AUS
706,sgmeat,15,Sheep and Goat Meat,716862.0,10752930.0,642615.6441553892,0.14111302987119695,1.4021556843268808,713.1875662438014,7.357008491521624,0.010315671276028176,AUS
707,other,15,"Meat, nes",,,,,,,,,AUS
708,bvmeat,25,Beef and Buffalo Meat,68300.0,1707500.0,54559.76413043244,0.734397546703598,6.338896416382252,157.75616673836137,5.9374261880734,0.03763672958611261,ARM
