ISO3,item_name,band_name,data_mean,data_mean_sem,unit,pixel_count,physical_area_km2
BFA,RCOF,median,0.0,,tonnes carbon per km2,1.0,0.0
BDI,RCOF,median,,,tonnes carbon per km2,,
CPV,RCOF,median,,,tonnes carbon per km2,,
KHM,RCOF,median,0.14170209605134,0.00473646917785616,tonnes carbon per km2,1344.0,4.7090000451356175
CMR,RCOF,median,0.10588554634753361,0.012808431860956333,tonnes carbon per km2,5203.0,997.5820067164302
CAN,RCOF,median,,,tonnes carbon per km2,,
CRI,RCOF,median,,,tonnes carbon per km2,,
CIV,RCOF,median,0.5516829364167061,0.01647057678301972,tonnes carbon per km2,3602.0,10514.06364582821
HRV,RCOF,median,,,tonnes carbon per km2,,
CUB,RCOF,median,,,tonnes carbon per km2,,
CAF,RCOF,median,0.02285796913317282,0.0036041124281167413,tonnes carbon per km2,1980.0,475.66399853669105
TCD,RCOF,median,0.21154624409319991,0.06040509495026381,tonnes carbon per km2,10.0,0.3189999985694886
CHL,RCOF,median,,,tonnes carbon per km2,,
CHN,RCOF,median,,,tonnes carbon per km2,,
CYP,RCOF,median,,,tonnes carbon per km2,,
CZE,RCOF,median,,,tonnes carbon per km2,,
DNK,RCOF,median,,,tonnes carbon per km2,,
DJI,RCOF,median,,,tonnes carbon per km2,,
DMA,RCOF,median,,,tonnes carbon per km2,,
DOM,RCOF,median,,,tonnes carbon per km2,,
ECU,RCOF,median,0.5150776372325256,0.040977369731617724,tonnes carbon per km2,1117.0,134.12200002633034
EGY,RCOF,median,,,tonnes carbon per km2,,
SLV,RCOF,median,0.0,,tonnes carbon per km2,1.0,0.0
GNQ,RCOF,median,0.07505989038870878,0.0239585872803464,tonnes carbon per km2,302.0,112.14999870091677
ERI,RCOF,median,,,tonnes carbon per km2,,
EST,RCOF,median,,,tonnes carbon per km2,,
ETH,RCOF,median,,,tonnes carbon per km2,,
FJI,RCOF,median,,,tonnes carbon per km2,,
FIN,RCOF,median,,,tonnes carbon per km2,,
GAB,RCOF,median,0.07279275011922262,0.009660658884535695,tonnes carbon per km2,1403.0,2.7740000262856483
GMB,RCOF,median,,,tonnes carbon per km2,,
MAR,RCOF,median,,,tonnes carbon per km2,,
MOZ,RCOF,median,,,tonnes carbon per km2,,
NAM,RCOF,median,,,tonnes carbon per km2,,
GEO,RCOF,median,,,tonnes carbon per km2,,
DEU,RCOF,median,,,tonnes carbon per km2,,
GHA,RCOF,median,0.4806248473967494,0.02732949253415601,tonnes carbon per km2,795.0,2.2758748529240256
GRC,RCOF,median,,,tonnes carbon per km2,,
GRL,RCOF,median,,,tonnes carbon per km2,,
GRD,RCOF,median,,,tonnes carbon per km2,,
NRU,RCOF,median,,,tonnes carbon per km2,,
